ID	CS1	CS2	CS3	group
ERR3016447	-2.374994397	1.211701255	-0.480042091	2
ERR3016448	-0.967294076	0.689352276	0.430161758	3
ERR3016449	-1.910909391	1.069833145	-0.063226901	2
ERR3016450	-1.170643286	1.282737969	-0.559410079	2
ERR3016451	-1.846270013	0.660220343	0.307395023	2
ERR3016452	-0.864219433	-1.78316033	0.738285325	3
ERR3016453	-0.533804793	-2.453571771	1.56796233	3
ERR3016454	-1.442617556	-0.263513351	1.227570499	2
ERR3016455	-1.932201601	0.772233843	0.757205729	2
ERR3016456	-1.835322952	-0.182764338	1.13515782	2
ERR3016457	-1.300426241	-0.282970933	2.016948788	2
ERR3016458	-0.508461076	-0.335728585	1.726675794	3
ERR3016466	-2.716128158	1.294477577	-0.708987234	2
ERR3016467	-1.920775244	0.076023186	-0.04252082	2
ERR3016468	-2.380571818	0.822636115	-0.260115667	2
ERR3016469	-2.274403936	0.916050077	-0.150204741	2
ERR3016470	-1.900286604	0.214430472	0.715224815	2
ERR3016471	-2.387123637	0.637450047	0.456748404	2
ERR3016472	-2.008774211	0.79575698	-0.16402642	2
ERR3016473	-0.973226694	-0.44905203	1.032267273	3
ERR3016474	-1.311392024	-0.464947954	1.556140143	2
ERR3016475	-1.063463633	-0.558414972	1.254420051	3
ERR3016481	-2.141147628	0.498289175	0.493617962	2
ERR3016482	-0.548869963	-2.026526705	0.506370742	4
ERR3016483	-0.53589921	-1.866620062	-0.2559857	4
ERR3016484	-0.290878556	-2.743349138	0.328367643	4
ERR3016485	0.583264922	-1.344459105	-0.839225114	4
ERR3016486	-0.498633132	-1.790722748	-0.673311835	4
ERR3016487	0.933457935	-0.135338823	0.444719647	3
ERR3016488	-1.132512704	-1.124947895	2.500176777	3
ERR3016489	-1.724205162	-1.378915258	3.199781768	3
ERR3016499	-0.901503255	-0.645482845	2.616224469	3
ERR3016500	-2.094096151	0.096757464	1.42087931	2
ERR3016501	-1.000766351	-0.478562357	0.875052683	3
ERR3016502	0.1253448	-1.312813348	0.284828459	3
ERR3016503	-1.483346428	-0.41950192	0.492994161	3
ERR3016504	-0.08298045	-2.918939301	-1.396025218	4
ERR3016505	-2.351750508	0.664786184	0.223045985	2
ERR3016506	-0.595404709	-1.82279836	-0.725670632	4
ERR3016507	-0.469256665	-4.822130183	-2.508825417	4
ERR3016517	-1.34045448	0.115911974	-0.154538267	2
ERR3016518	0.149507858	-1.77386209	0.012845261	4
ERR3016519	-0.936119177	-0.108650353	0.521995089	3
ERR3016520	-0.68003273	0.022556593	1.323973604	3
ERR3016521	-0.182770207	-0.574071732	1.565740025	3
ERR3016522	-1.594234437	-0.587980799	0.242215597	2
ERR3016523	-0.660674547	-2.454734082	-0.753900399	4
ERR3016524	-0.141124521	-1.815716897	0.719587349	4
ERR3016525	-0.077708947	-3.007130655	-0.426153667	4
ERR3016526	-0.492789947	-3.017433489	-1.2135743	4
ERR3016535	-1.405596082	0.657338205	1.229285503	2
ERR3016536	-2.18810949	0.272768366	-0.753451172	2
ERR3016537	-1.900358929	0.396820284	-0.777269379	2
ERR3016538	-2.101424382	0.618002169	0.368535758	2
ERR3016539	-1.835678857	-0.446171475	1.702434829	2
ERR3016540	-0.458569843	-1.28646767	1.769937821	3
ERR3016541	-1.021086742	-0.489122586	2.136865301	3
ERR3016542	-1.14490694	-0.893568858	2.199661536	3
ERR3016543	-0.826810086	-2.932796729	0.303735916	3
ERR3016544	0.184896675	-3.009624518	1.4665282	4
ERR3016545	-0.455329945	-1.709710963	1.313916502	4
ERR3016552	0.150534009	-1.129751616	0.531102604	4
ERR3016553	-0.462002654	-2.907969768	-2.05512697	4
ERR3016554	-0.293518324	-2.368380176	-0.451917307	4
ERR3016555	-0.632303071	-2.159316116	0.193396583	4
ERR3016556	-0.448356541	-2.791545772	-1.445941703	4
ERR3016557	-0.783713962	-1.408589163	0.535437993	4
ERR3016558	-0.370789651	-2.150709416	0.417637139	4
ERR3016559	-0.96178932	-0.999009545	1.710501428	4
ERR3016560	-0.916083748	-1.756916653	2.61135456	4
ERR3016561	-0.296164791	-0.552882141	1.955597608	3
ERR3016562	1.31608229	-1.040356008	1.653535207	4
ERR3016563	0.72996083	-1.003434242	2.130859698	4
ERR3016574	-2.370324454	0.928735461	-0.655883964	2
ERR3016575	-2.618471641	1.203654954	-0.361216889	2
ERR3016576	-2.81006133	1.171387384	-0.38311433	2
ERR3016577	-2.607402573	0.758162521	-0.167763157	2
ERR3016578	-2.014063802	0.733926697	-0.238342646	2
ERR3016579	-0.815450019	-0.63953894	0.9589599	3
ERR3016580	-1.850337237	-0.129944361	-0.721015433	4
ERR3016582	-0.620958025	-2.196685707	-1.333379234	4
ERR3016583	-2.389537632	0.746472074	-0.093032682	2
ERR3016584	-1.505049959	-0.352844627	0.32796839	2
ERR3016585	-1.379524784	-2.061812454	-1.398259677	4
ERR3016586	-2.799229009	0.856848792	-0.523865196	2
ERR3016600	-1.578438485	-1.837644219	1.251712042	2
ERR3016601	-2.274855731	0.072810981	0.324902439	2
ERR3016602	-2.020456993	0.147564443	0.401528047	2
ERR3016603	-1.54583841	-0.369033771	1.682004752	2
ERR3016604	-1.244006779	-1.929213841	1.591958601	2
ERR3016605	-2.653651021	1.107524747	-0.332681736	2
ERR3016606	-0.229185327	-1.877785733	-0.595989591	4
ERR3016607	-0.984261708	-1.616298398	2.582161707	2
ERR3016608	-2.029933684	0.807123254	0.0842666	2
ERR3016609	-1.437195217	-1.706890368	2.402640091	3
ERR3016611	0.249083699	-2.3466586	-1.187918835	4
ERR3016612	-1.821036021	-0.03426488	1.056130133	2
ERR3016626	-1.163517452	0.019446701	0.578527125	2
ERR3016627	0.336297727	-0.552152109	0.701225609	3
ERR3016628	-0.220774133	-0.188024351	0.779159656	3
ERR3016629	0.697860855	-2.767196042	-1.596573162	3
ERR3016630	0.294228992	-0.354158157	0.829042765	3
ERR3016631	-0.508480101	-2.221961681	-2.293141961	4
ERR3016632	0.124701963	-4.290690049	-2.867315863	4
ERR3016633	0.208608261	-0.532734411	1.891047263	3
ERR3016634	-0.269425479	-2.238367469	0.05899063	4
ERR3016635	-0.671052377	-1.905808956	-0.265451972	4
ERR3016636	-2.266629824	-0.632012489	-1.847005449	4
ERR3016637	-1.878745997	-0.410454017	-0.513170819	2
ERR3016649	-2.523425179	0.998743265	-0.24772865	2
ERR3016651	-2.214586003	0.9507138	-0.650934473	2
ERR3016652	-1.865949794	-0.669516555	-0.873600193	2
ERR3016653	-2.510827421	0.463842422	-1.075779859	2
ERR3016654	-1.379443066	-0.22497345	-0.596815716	2
ERR3016655	-1.62713215	-0.665522528	-0.725411002	2
ERR3016656	-2.068584012	0.639048487	-0.072599036	2
ERR3016658	-1.772312939	-2.691303912	-1.956619588	4
ERR3016659	-1.680666096	-1.077826374	-0.696532991	2
