CS1	CS2	group
SRR8118896	1.470044849	-1.613447215	3
SRR8118898	1.780494717	-1.675789491	3
SRR8119117	0.892476417	-0.958301797	3
SRR8119156	1.600216555	-2.042094952	3
SRR8119200	1.844662453	-2.101909291	3
SRR8119203	1.629030891	-1.820424159	3
SRR8119430	0.938880698	-1.393028189	3
SRR8119437	1.724096047	-1.97245578	3
SRR8119743	1.707468388	-1.460659886	3
SRR8120098	1.352578063	-0.825326989	3
SRR8120303	1.360371323	-1.158693045	3
SRR8120465	1.656900683	-1.797991864	3
SRR8120575	1.374700162	-0.726867062	3
SRR8120793	0.340118547	-0.51833999	3
SRR8120897	2.361840628	-1.848388867	3
SRR8116350	2.176386706	-1.78646068	3
SRR8118882	1.829244616	-1.738654941	3
SRR8120392	2.119393578	-2.3519696	3
SRR8119184	0.912427018	-1.545206546	3
SRR8120454	2.184619558	-1.932096973	3
SRR8116326	1.849106386	-1.898826994	3
SRR8117200	1.849106386	-1.898826994	3
SRR8119067	1.29249253	-1.327161977	3
SRR8116256	1.39384135	-1.496167368	3
SRR8116349	2.672447808	-2.42766496	3
SRR8119683	1.039409282	-1.082923587	3
SRR8116258	1.065952612	-0.652013577	3
SRR8116032	1.778425064	-1.943129016	3
SRR8118934	1.183463775	-1.482652575	3
SRR8120491	1.764127928	-1.600712062	3
SRR8120649	1.33093096	-1.740489825	3
SRR8116171	1.257253347	-0.978126241	3
SRR8117248	1.257253347	-0.978126241	3
SRR8118616	1.081454423	-1.228733844	3
SRR8118477	0.666322308	-0.12115341	3
SRR8119791	0.913555884	-1.697445393	3
SRR8120349	1.406679401	-1.34147664	3
SRR8120830	2.27571302	-2.261010436	3
SRR8120475	-0.677457716	-0.366496014	3
SRR8120430	0.522550725	-1.193605537	3
SRR8118903	-0.429883179	-0.823970504	3
SRR8118918	0.766955623	-1.323839688	3
SRR8119176	0.705998754	-1.256709068	3
SRR8119289	1.219945364	-1.042062705	3
SRR8119363	0.121176635	-0.573390262	3
SRR8119754	1.052409799	-1.593473887	3
SRR8119760	1.996402665	-1.816822401	3
SRR8120325	2.09463229	-2.168390137	3
SRR8120302	0.726274122	0.287129858	3
SRR8115689	1.160731862	-1.74523336	3
SRR8117106	1.160731862	-1.74523336	3
SRR8119124	0.893040767	-1.351030637	3
SRR8118652	1.260135893	-1.444528546	3
SRR8120199	0.444369593	-1.31155433	3
SRR8116413	1.885798562	-1.683595773	3
SRR8116461	2.677295073	-2.412113834	3
SRR8116316	1.445630721	-1.611153595	3
SRR8116484	1.728121397	-1.593708473	3
SRR8118508	1.29535246	-1.520296954	3
SRR8116173	0.607122482	-0.718862261	3
SRR8117246	0.607122482	-0.718862261	3
SRR8116341	1.199694639	-1.333725515	3
SRR8117087	1.199694639	-1.333725515	3
SRR8119053	1.87383334	-1.09815407	3
SRR8115810	1.451695529	-2.052875113	3
SRR8120081	1.188873813	-0.852912636	3
SRR8118840	1.943886453	-1.667649366	3
SRR8120506	1.195795794	-1.055170815	3
SRR8119520	1.645244268	-2.017061279	3
SRR8116446	1.65083576	-1.990537658	3
SRR8119015	2.083842168	-2.156390799	3
SRR8120870	0.882362306	0.211655369	3
SRR8119174	1.497779665	-2.303522197	3
SRR8119639	1.580657735	-1.432394816	3
SRR8119136	1.875665066	-1.677278035	3
SRR8119355	1.340449341	-1.257199625	3
SRR8118973	2.081018993	-2.128911878	3
SRR8119102	0.529383856	0.052878231	3
SRR8115737	0.388840481	-1.503362635	3
SRR8118927	0.698260702	-0.896898867	3
SRR8119748	1.9514314	-1.833728705	3
SRR8120071	0.847259089	-1.592153713	3
SRR8115661	0.44122816	-0.914696168	3
SRR8118614	0.839392124	-1.076704292	3
SRR8119173	1.587217037	-2.02674146	3
SRR8120235	-0.169397107	-0.704164715	3
SRR8115651	1.531746451	-0.775273063	3
SRR8118646	0.536346096	-1.030610763	3
SRR8116157	2.19223363	-1.894330778	3
SRR8117149	2.19223363	-1.894330778	3
SRR8115442	1.604434617	-1.671077763	3
SRR8117169	1.604434617	-1.671077763	3
SRR8120224	2.315404883	-2.257917063	3
SRR8116031	2.136811025	-2.026331496	3
SRR8119005	-0.061528114	-0.35246281	3
SRR8118970	2.261524865	-1.925726917	3
SRR8116557	2.233351742	-1.962316069	3
SRR8115662	2.984912834	-3.076662334	3
SRR8115666	1.138536007	-1.50411178	3
SRR8115676	0.577414148	-0.636654717	3
SRR8115710	1.092743618	-0.22087893	3
SRR8115851	1.233837495	-1.688495753	3
SRR8115911	0.63661242	-0.663221356	3
SRR8115932	0.913547411	-1.040763241	3
SRR8115963	0.713653222	-0.623454817	3
SRR8116016	0.532523617	-0.39687151	3
SRR8116028	1.647975476	-1.536227388	3
SRR8116081	1.091146116	-1.524672986	3
SRR8116084	0.749363395	-0.243662855	3
SRR8116137	0.282159063	-0.926982629	3
SRR8116167	1.604745095	-1.383369224	3
SRR8116393	2.064539556	-1.34622839	3
SRR8116439	1.394561112	-1.87578543	3
SRR8116440	0.594095686	-1.038877356	3
SRR8116488	0.364272267	-1.064411598	3
SRR8116565	1.405627782	-1.264440994	3
SRR8117074	1.092743618	-0.22087893	3
SRR8117079	1.138536007	-1.50411178	3
SRR8117083	2.984912834	-3.076662334	3
SRR8117133	0.63661242	-0.663221356	3
SRR8117148	1.647975476	-1.536227388	3
SRR8117151	1.405627782	-1.264440994	3
SRR8117218	1.233837495	-1.688495753	3
SRR8117236	0.282159063	-0.926982629	3
SRR8117252	1.604745095	-1.383369224	3
SRR8118520	1.600258281	-1.403646761	3
SRR8118554	0.446584841	-0.590526362	3
SRR8118555	0.998258179	-0.879960358	3
SRR8118605	0.591635454	-0.503936234	3
SRR8118855	1.180110043	-1.628405565	3
SRR8118902	1.179078898	-1.569367246	3
SRR8118920	0.455545361	-0.161650529	3
SRR8118922	-0.109121552	0.002810814	3
SRR8118923	-0.468067677	-0.303039318	3
SRR8118957	0.824735369	-0.468254524	3
SRR8118967	1.301223798	-0.873141653	3
SRR8118981	2.335217399	-1.883391933	3
SRR8118989	1.317996046	-0.278105619	3
SRR8119006	0.845170773	-1.030464866	3
SRR8119019	1.713903575	-1.260349642	3
SRR8119137	1.81004878	-1.460763939	3
SRR8119178	1.427258379	-0.942709402	3
SRR8119297	1.775790623	-1.384669532	3
SRR8119311	0.47980754	-0.528088084	3
SRR8119365	1.048381542	-1.207565526	3
SRR8119381	0.744648296	-0.061822769	3
SRR8119427	0.998040919	-0.87712914	3
SRR8119468	1.344033232	-0.481273335	3
SRR8119637	0.974711869	-0.654166462	3
SRR8119640	0.347715458	-0.758037827	3
SRR8119651	0.87066836	-0.386695787	3
SRR8119738	0.199191849	-1.180162118	3
SRR8119771	0.974724952	-1.040990462	3
SRR8119777	0.196903409	-0.431986521	3
SRR8119997	0.787363642	-0.421109382	3
SRR8120015	0.82728825	-0.982113352	3
SRR8120047	1.863629209	-1.928330476	3
SRR8120089	1.302981024	-0.72293105	3
SRR8120149	2.379610805	-2.302878581	3
SRR8120158	0.88480225	0.31945408	3
SRR8120194	0.430112491	-0.264384403	3
SRR8120202	1.437441328	-1.709989154	3
SRR8120213	0.989978526	-0.712548087	3
SRR8120291	1.860628339	-1.092817703	3
SRR8120323	1.586536108	-1.962635649	3
SRR8120330	0.373128459	-1.092864893	3
SRR8120437	1.574443141	-1.596226029	3
SRR8120455	1.452598054	-0.52096999	3
SRR8120550	0.779383316	-0.748718346	3
SRR8120617	0.886987842	-0.390983728	3
SRR8120643	1.040659347	-0.356027021	3
SRR8120644	1.558364348	-1.173177421	3
SRR8120645	1.325124584	-0.607525125	3
SRR8120650	0.966270528	-1.194533961	3
SRR8120739	0.607892493	-0.210428612	3
SRR8120755	1.502973993	-0.207224096	3
SRR8120780	1.328996049	-1.207857582	3
SRR8120895	1.903373415	-1.778620191	3
SRR8115700	0.917654907	-0.932181781	3
SRR8115872	1.593215171	-1.254279058	3
SRR8116374	0.829398635	-1.504486546	3
SRR8116386	1.92581736	-1.513914651	3
SRR8116425	2.034140107	-1.105293255	3
SRR8119616	1.032316995	-0.418955074	3
SRR8120922	1.479839034	-1.31243579	3
SRR8116014	1.229464787	-1.656474937	3
SRR8116026	0.739014803	-0.418314415	3
SRR8119097	2.221476628	-1.936220543	3
SRR8120692	1.896701781	-0.952592087	3
SRR8116389	1.597352738	-1.426007522	3
SRR8119424	1.089653745	-1.954062988	3
SRR8120566	1.166908786	-0.871932069	3
SRR8120156	1.59651597	-0.695859786	3
SRR8116234	1.524529427	-0.170915753	3
SRR8115742	1.081258949	-0.816411283	3
SRR8117144	1.081258949	-0.816411283	3
SRR8119245	0.453670978	-0.607094596	3
SRR8115664	0.511885316	0.357573414	3
SRR8117081	0.511885316	0.357573414	3
SRR8120927	1.995349771	-1.71109129	3
SRR8118929	0.842521584	-0.374360851	3
SRR8120435	1.203334617	-0.444785768	3
SRR8119333	2.054383073	-1.759592658	3
SRR8119786	0.477566209	-0.688642025	3
SRR8119428	1.111134403	-0.916919421	3
SRR8120713	1.249035729	-2.030950697	3
SRR8120176	2.341876399	-1.849104057	3
SRR8120008	1.654138315	-1.682947474	3
SRR8118868	0.962701252	-1.416147204	3
SRR8118604	0.514219993	-0.460268903	3
SRR8120022	1.68856743	-1.660847663	3
SRR8120638	1.846614808	-1.633371158	3
SRR8119139	1.580913121	-1.257302104	3
SRR8119708	0.663917384	-0.951656124	3
SRR8120873	0.726130979	-1.315191621	3
SRR8116055	1.214757641	-1.079418287	3
SRR8120709	2.412534621	-2.165616301	3
SRR8120340	0.975040317	-1.556072779	3
SRR8116336	0.006128123	-0.423907397	3
SRR8118608	0.295947449	-0.399213028	3
SRR8116410	1.472870796	-1.387336246	3
SRR8120334	1.526197207	-0.240294946	3
SRR8119773	0.857195333	-0.784107343	3
SRR8116433	1.813641497	-1.03676882	3
SRR8120820	0.349894297	-1.372462123	3
SRR8118844	0.714302209	-0.738531303	3
SRR8120909	1.440572182	-1.310188701	3
SRR8119658	1.532878209	-1.626205357	3
SRR8118650	0.61876253	-0.589826146	3
SRR8116247	1.204907331	-0.374802505	3
SRR8120731	1.911157187	-1.625187382	3
SRR8119353	2.059794314	-1.949904735	3
SRR8116248	1.447251189	-1.23492406	3
SRR8115444	1.086776869	-1.484258909	3
SRR8115646	0.839576991	0.347472675	3
SRR8115678	1.772478193	-0.525530441	3
SRR8115688	1.23306736	-0.816604631	3
SRR8115728	0.98853938	0.449527348	3
SRR8115738	0.182660689	-1.331038181	3
SRR8115740	1.324935714	-1.311038084	3
SRR8115787	1.147962286	-1.416068113	3
SRR8115858	1.58730981	-0.706986287	3
SRR8115863	1.147453529	-1.638713217	3
SRR8115875	0.263668322	-1.118945312	3
SRR8115876	-0.665730268	-0.497895168	3
SRR8115892	1.707819404	-0.668151053	3
SRR8115925	1.604194167	-1.655631468	3
SRR8115927	1.435644913	-1.544419362	3
SRR8115992	1.511733341	-1.253050595	3
SRR8116071	2.135104002	-1.607698368	3
SRR8116074	0.080349075	-0.885236253	3
SRR8116078	2.171945523	-1.736090234	3
SRR8116145	1.313563892	-1.62872932	3
SRR8116154	1.116246047	0.670537083	3
SRR8116352	1.749200825	-1.773233379	3
SRR8116378	0.923623187	-1.632752369	3
SRR8116427	1.493308535	-1.86028665	3
SRR8116454	1.33314585	-0.783595098	3
SRR8116487	0.73184476	-0.024413858	3
SRR8116490	2.379031648	-2.146613147	3
SRR8116497	2.150609977	-1.495267221	3
SRR8116527	1.310021921	-1.08454966	3
SRR8116531	0.719164353	0.05512919	3
SRR8116583	1.824861138	-1.722625612	3
SRR8116587	2.171239062	-1.633206928	3
SRR8116597	1.645660754	-1.62784834	3
SRR8116620	1.21129318	-0.998291251	3
SRR8117084	1.23306736	-0.816604631	3
SRR8117095	0.263668322	-1.118945312	3
SRR8117129	1.707819404	-0.668151053	3
SRR8117175	1.086776869	-1.484258909	3
SRR8117209	2.171239062	-1.633206928	3
SRR8117213	1.824861138	-1.722625612	3
SRR8117221	1.58730981	-0.706986287	3
SRR8117256	-0.665730268	-0.497895168	3
SRR8118473	0.916990869	-0.884311064	3
SRR8118488	1.525277576	-1.121980639	3
SRR8118499	1.088508828	-1.167599022	3
SRR8118506	1.476551865	-1.183018107	3
SRR8118519	1.352397402	-1.333766477	3
SRR8118521	0.90905626	-0.779593992	3
SRR8118522	1.576733475	-1.684893763	3
SRR8118530	1.471411397	-0.931064481	3
SRR8118533	1.269543782	-0.65657416	3
SRR8118556	0.928145739	-0.484520622	3
SRR8118581	1.35469883	-0.40595606	3
SRR8118617	1.439031444	-0.907958707	3
SRR8118834	1.536843428	-1.892738526	3
SRR8118887	1.668750328	-1.678793315	3
SRR8118974	1.274578169	-1.314418369	3
SRR8119047	1.898725721	-1.654822589	3
SRR8119051	1.429718836	-0.938092135	3
SRR8119060	1.838217278	-1.093225654	3
SRR8119093	0.156613279	-0.444984042	3
SRR8119103	0.04070876	-0.16160082	3
SRR8119111	1.285899994	-1.348464143	3
SRR8119123	0.897761838	0.287854581	3
SRR8119128	1.556486142	-1.32653151	3
SRR8119132	1.799461908	-1.698909419	3
SRR8119135	0.913101426	-0.946137917	3
SRR8119151	1.50494293	-0.999088344	3
SRR8119152	1.801520835	-1.565433899	3
SRR8119163	1.314473248	-1.590530185	3
SRR8119180	1.909730876	-1.261446662	3
SRR8119229	2.00135819	-1.078121495	3
SRR8119243	1.297913839	-1.034044346	3
SRR8119244	0.724169108	-1.461252938	3
SRR8119246	0.71590938	0.234597814	3
SRR8119247	0.692587275	0.239411085	3
SRR8119321	2.029982426	-1.554927127	3
SRR8119357	1.768586042	-1.634120312	3
SRR8119379	1.409797569	-1.359301219	3
SRR8119432	1.607263662	-1.632063455	3
SRR8119433	0.910843573	-0.033194327	3
SRR8119434	0.736801785	-0.451421415	3
SRR8119456	0.712600983	-0.520589342	3
SRR8119457	1.889811378	-0.940635525	3
SRR8119463	1.207047404	-1.007065251	3
SRR8119464	1.086032803	-0.871712653	3
SRR8119498	1.483087619	0.11250853	3
SRR8119504	1.346344323	-1.190264786	3
SRR8119515	1.675412978	-1.063038543	3
SRR8119535	0.764314036	-0.442373614	3
SRR8119564	1.740911625	-1.83261446	3
SRR8119573	0.992602109	0.083222115	3
SRR8119574	0.888108006	-0.006670507	3
SRR8119575	1.232208383	-0.422594692	3
SRR8119585	0.615587713	-1.328315255	3
SRR8119588	0.922425676	-0.45322097	3
SRR8119591	0.501509193	-0.351182171	3
SRR8119606	1.812422635	-1.960538078	3
SRR8119607	1.331158622	-0.75233341	3
SRR8119609	2.129577878	-2.005525059	3
SRR8119614	1.415622711	-1.765783658	3
SRR8119631	1.696564049	-1.516505724	3
SRR8119679	1.53083405	-1.745935207	3
SRR8119685	0.393510444	-0.364145569	3
SRR8119687	0.952734221	-2.372642083	3
SRR8119688	0.963164065	-1.949364748	3
SRR8119700	1.307759029	-1.200839847	3
SRR8119702	0.40866479	-0.370618976	3
